user_sequence,challenge
34465_11,CI26155
34465_12,CI26165
34465_13,CI26156
34466_11,CI26938
34466_12,CI27018
34466_13,CI27019
34470_11,CI26155
34470_12,CI26156
34470_13,CI26157
34473_11,CI26155
34473_12,CI26156
34473_13,CI26157
34474_11,CI24917
34474_12,CI23855
34474_13,CI24261
34477_11,CI26155
34477_12,CI26165
34477_13,CI26156
34478_11,CI26155
34478_12,CI26165
34478_13,CI26156
34479_11,CI26938
34479_12,CI27018
34479_13,CI27019
34480_11,CI26938
34480_12,CI27018
34480_13,CI27019
34486_11,CI26155
34486_12,CI26156
34486_13,CI26157
34488_11,CI26938
34488_12,CI27018
34488_13,CI27019
34489_11,CI26938
34489_12,CI27018
34489_13,CI27019
34490_11,CI26155
34490_12,CI26156
34490_13,CI26157
34492_11,CI26938
34492_12,CI27018
34492_13,CI27019
34494_11,CI26178
34494_12,CI26194
34494_13,CI26195
34495_11,CI26155
34495_12,CI26156
34495_13,CI26157
34496_11,CI26155
34496_12,CI26156
34496_13,CI26157
34497_11,CI26177
34497_12,CI26178
34497_13,CI26195
34503_11,CI26938
34503_12,CI27018
34503_13,CI27019
34506_11,CI26938
34506_12,CI27018
34506_13,CI27019
34507_11,CI24917
34507_12,CI23855
34507_13,CI23933
34509_11,CI24917
34509_12,CI24261
34509_13,CI23933
34511_11,CI24917
34511_12,CI23855
34511_13,CI24261
34512_11,CI23855
34512_12,CI24261
34512_13,CI23933
34515_11,CI23855
34515_12,CI24261
34515_13,CI23933
34519_11,CI24917
34519_12,CI25634
34519_13,CI25142
34524_11,CI24806
34524_12,CI24808
34524_13,CI23483
34525_11,CI23855
34525_12,CI24261
34525_13,CI23933
34531_11,CI26938
34531_12,CI27018
34531_13,CI27019
34533_11,CI24917
34533_12,CI23933
34533_13,CI23714
34535_11,CI24261
34535_12,CI23933
34535_13,CI23714
34536_11,CI26938
34536_12,CI27018
34536_13,CI27019
34537_11,CI24917
34537_12,CI23855
34537_13,CI24261
34540_11,CI24917
34540_12,CI23855
34540_13,CI24261
34543_11,CI26938
34543_12,CI27018
34543_13,CI27019
34547_11,CI24917
34547_12,CI24261
34547_13,CI23933
34548_11,CI24917
34548_12,CI25634
34548_13,CI24915
34550_11,CI24917
34550_12,CI24261
34550_13,CI23933
34553_11,CI24917
34553_12,CI23933
34553_13,CI23714
34555_11,CI24917
34555_12,CI23855
34555_13,CI24261
34557_11,CI24917
34557_12,CI23933
34557_13,CI23714
34559_11,CI26938
34559_12,CI27018
34559_13,CI27019
34568_11,CI26938
34568_12,CI27018
34568_13,CI27019
34572_11,CI24917
34572_12,CI23855
34572_13,CI24261
34576_11,CI26938
34576_12,CI27018
34576_13,CI27019
34579_11,CI26938
34579_12,CI27018
34579_13,CI27019
34582_11,CI24917
34582_12,CI23855
34582_13,CI24261
34583_11,CI24917
34583_12,CI23855
34583_13,CI24261
34585_11,CI24917
34585_12,CI23855
34585_13,CI24261
34588_11,CI24917
34588_12,CI23855
34588_13,CI24261
34589_11,CI28567
34589_12,CI28569
34589_13,CI28570
34592_11,CI24917
34592_12,CI23855
34592_13,CI24261
34593_11,CI24917
34593_12,CI23855
34593_13,CI24261
34594_11,CI24917
34594_12,CI23855
34594_13,CI24261
34595_11,CI24917
34595_12,CI23855
34595_13,CI24261
34596_11,CI24917
34596_12,CI23855
34596_13,CI24261
34598_11,CI23855
34598_12,CI23933
34598_13,CI23714
34601_11,CI24917
34601_12,CI23855
34601_13,CI24261
34602_11,CI24917
34602_12,CI23855
34602_13,CI23933
34603_11,CI26938
34603_12,CI27018
34603_13,CI27019
34609_11,CI24917
34609_12,CI24261
34609_13,CI23933
34613_11,CI24917
34613_12,CI24261
34613_13,CI23933
34614_11,CI24917
34614_12,CI23855
34614_13,CI24261
34615_11,CI26938
34615_12,CI27018
34615_13,CI27019
34616_11,CI26938
34616_12,CI27018
34616_13,CI27019
34617_11,CI26938
34617_12,CI27018
34617_13,CI27019
34618_11,CI24917
34618_12,CI23855
34618_13,CI24261
34624_11,CI24917
34624_12,CI23855
34624_13,CI24261
34625_11,CI24917
34625_12,CI23855
34625_13,CI23933
34627_11,CI23855
34627_12,CI24261
34627_13,CI23933
34629_11,CI24917
34629_12,CI23855
34629_13,CI24261
34630_11,CI24917
34630_12,CI24261
34630_13,CI23933
34634_11,CI24917
34634_12,CI25634
34634_13,CI25142
34636_11,CI23855
34636_12,CI24261
34636_13,CI23933
34641_11,CI24917
34641_12,CI25634
34641_13,CI25142
34645_11,CI24917
34645_12,CI23855
34645_13,CI24261
34647_11,CI24917
34647_12,CI23933
34647_13,CI23714
34650_11,CI24917
34650_12,CI23933
34650_13,CI23714
34658_11,CI24917
34658_12,CI23855
34658_13,CI24261
34659_11,CI24917
34659_12,CI23855
34659_13,CI24261
34664_11,CI24917
34664_12,CI23855
34664_13,CI24261
34676_11,CI24917
34676_12,CI24261
34676_13,CI23933
34677_11,CI26155
34677_12,CI26165
34677_13,CI26156
34678_11,CI23855
34678_12,CI24261
34678_13,CI23933
34679_11,CI23855
34679_12,CI23933
34679_13,CI27282
34680_11,CI26155
34680_12,CI26165
34680_13,CI26156
34681_11,CI24917
34681_12,CI23855
34681_13,CI24261
34682_11,CI23855
34682_12,CI23933
34682_13,CI23714
34684_11,CI23855
34684_12,CI24261
34684_13,CI23714
34688_11,CI26155
34688_12,CI26165
34688_13,CI26156
34690_11,CI24917
34690_12,CI23855
34690_13,CI23933
34691_11,CI26155
34691_12,CI26165
34691_13,CI26157
34693_11,CI24917
34693_12,CI23855
34693_13,CI23933
34700_11,CI24917
34700_12,CI23855
34700_13,CI24261
34709_11,CI26155
34709_12,CI26165
34709_13,CI26156
34714_11,CI28567
34714_12,CI28569
34714_13,CI28570
34716_11,CI24917
34716_12,CI23933
34716_13,CI23714
34720_11,CI24917
34720_12,CI23855
34720_13,CI24261
34722_11,CI26904
34722_12,CI26917
34722_13,CI26867
34723_11,CI24917
34723_12,CI23933
34723_13,CI23714
34725_11,CI24917
34725_12,CI23855
34725_13,CI24261
34726_11,CI26155
34726_12,CI26165
34726_13,CI26157
34729_11,CI24917
34729_12,CI24261
34729_13,CI23933
34736_11,CI24917
34736_12,CI23855
34736_13,CI24261
34737_11,CI24917
34737_12,CI23855
34737_13,CI23714
34739_11,CI24917
34739_12,CI23855
34739_13,CI23714
34741_11,CI24917
34741_12,CI24261
34741_13,CI23933
34742_11,CI24261
34742_12,CI23933
34742_13,CI27282
34744_11,CI24261
34744_12,CI23933
34744_13,CI23714
34746_11,CI24917
34746_12,CI23855
34746_13,CI24261
34748_11,CI26155
34748_12,CI26165
34748_13,CI26156
34749_11,CI24917
34749_12,CI23855
34749_13,CI24261
34750_11,CI24917
34750_12,CI23855
34750_13,CI23933
34753_11,CI24917
34753_12,CI24261
34753_13,CI23933
34756_11,CI26155
34756_12,CI26165
34756_13,CI26156
34757_11,CI24917
34757_12,CI23855
34757_13,CI24261
34759_11,CI24917
34759_12,CI23855
34759_13,CI24261
34761_11,CI26155
34761_12,CI26165
34761_13,CI26156
34762_11,CI23855
34762_12,CI23714
34762_13,CI27282
34765_11,CI24917
34765_12,CI23855
34765_13,CI24261
34770_11,CI26155
34770_12,CI26165
34770_13,CI26156
34772_11,CI26155
34772_12,CI26165
34772_13,CI26156
34775_11,CI24917
34775_12,CI23855
34775_13,CI24261
34780_11,CI26904
34780_12,CI26917
34780_13,CI26902
34788_11,CI26155
34788_12,CI26165
34788_13,CI26156
34800_11,CI26165
34800_12,CI26156
34800_13,CI26157
34801_11,CI24917
34801_12,CI23855
34801_13,CI24261
34803_11,CI26155
34803_12,CI26165
34803_13,CI26173
34808_11,CI24917
34808_12,CI23855
34808_13,CI24261
34812_11,CI26155
34812_12,CI26165
34812_13,CI26156
34818_11,CI26938
34818_12,CI27018
34818_13,CI27019
34821_11,CI24917
34821_12,CI23855
34821_13,CI24261
34826_11,CI24261
34826_12,CI23933
34826_13,CI23714
34830_11,CI23855
34830_12,CI24261
34830_13,CI23933
34831_11,CI26155
34831_12,CI26165
34831_13,CI26156
34835_11,CI23855
34835_12,CI23933
34835_13,CI23714
34838_11,CI26155
34838_12,CI26165
34838_13,CI26156
34841_11,CI26165
34841_12,CI26156
34841_13,CI26157
34852_11,CI23855
34852_12,CI24261
34852_13,CI27282
34855_11,CI26155
34855_12,CI26165
34855_13,CI26156
34858_11,CI26155
34858_12,CI26165
34858_13,CI26156
34859_11,CI26155
34859_12,CI26165
34859_13,CI26156
34860_11,CI26155
34860_12,CI26165
34860_13,CI26156
34861_11,CI23714
34861_12,CI23612
34861_13,CI24530
34863_11,CI24917
34863_12,CI23855
34863_13,CI24261
34866_11,CI24917
34866_12,CI23855
34866_13,CI23933
34869_11,CI24917
34869_12,CI23855
34869_13,CI24261
34870_11,CI24917
34870_12,CI23855
34870_13,CI24261
34871_11,CI24917
34871_12,CI23855
34871_13,CI24261
34873_11,CI26155
34873_12,CI26165
34873_13,CI26156
34875_11,CI24917
34875_12,CI23855
34875_13,CI24261
34879_11,CI26155
34879_12,CI26165
34879_13,CI26156
34882_11,CI26155
34882_12,CI26165
34882_13,CI26156
34885_11,CI24917
34885_12,CI23855
34885_13,CI24261
34896_11,CI24917
34896_12,CI23855
34896_13,CI24261
34899_11,CI24917
34899_12,CI23855
34899_13,CI24261
34901_11,CI24917
34901_12,CI23855
34901_13,CI24261
34902_11,CI24917
34902_12,CI23855
34902_13,CI24261
34903_11,CI24917
34903_12,CI23855
34903_13,CI24261
34905_11,CI24917
34905_12,CI23933
34905_13,CI27282
34906_11,CI23855
34906_12,CI23933
34906_13,CI23714
34907_11,CI23855
34907_12,CI24261
34907_13,CI23933
34908_11,CI23663
34908_12,CI24230
34908_13,CI27805
34910_11,CI24917
34910_12,CI23855
34910_13,CI24261
34913_11,CI24917
34913_12,CI23855
34913_13,CI24261
34916_11,CI23663
34916_12,CI24230
34916_13,CI27805
34921_11,CI23855
34921_12,CI24261
34921_13,CI23933
34922_11,CI24917
34922_12,CI23855
34922_13,CI24261
34927_11,CI24917
34927_12,CI23855
34927_13,CI24261
34929_11,CI24917
34929_12,CI23855
34929_13,CI24261
34930_11,CI24917
34930_12,CI23855
34930_13,CI24261
34933_11,CI24917
34933_12,CI23855
34933_13,CI24261
34935_11,CI24917
34935_12,CI24261
34935_13,CI23933
34943_11,CI24917
34943_12,CI23855
34943_13,CI24261
34948_11,CI24917
34948_12,CI23855
34948_13,CI24261
34950_11,CI23663
34950_12,CI24230
34950_13,CI27805
34951_11,CI23855
34951_12,CI24261
34951_13,CI23933
34955_11,CI24917
34955_12,CI23855
34955_13,CI24261
34961_11,CI24917
34961_12,CI23855
34961_13,CI24261
34962_11,CI24917
34962_12,CI23855
34962_13,CI24261
34963_11,CI26904
34963_12,CI26917
34963_13,CI26902
34967_11,CI26155
34967_12,CI26165
34967_13,CI26156
34968_11,CI24917
34968_12,CI23855
34968_13,CI24261
34971_11,CI24917
34971_12,CI23855
34971_13,CI24261
34972_11,CI24917
34972_12,CI23855
34972_13,CI24261
34973_11,CI24917
34973_12,CI23855
34973_13,CI23933
34974_11,CI24917
34974_12,CI23855
34974_13,CI24261
34975_11,CI24917
34975_12,CI23855
34975_13,CI24261
34976_11,CI23855
34976_12,CI24261
34976_13,CI23933
34983_11,CI23663
34983_12,CI24230
34983_13,CI27805
34984_11,CI24917
34984_12,CI23855
34984_13,CI24261
34994_11,CI24917
34994_12,CI23855
34994_13,CI24261
34996_11,CI28567
34996_12,CI28569
34996_13,CI28570
34997_11,CI28567
34997_12,CI28569
34997_13,CI28570
34999_11,CI23663
34999_12,CI24230
34999_13,CI27805
35000_11,CI26917
35000_12,CI26902
35000_13,CI26903
35004_11,CI28567
35004_12,CI28569
35004_13,CI28570
35005_11,CI28567
35005_12,CI28569
35005_13,CI28570
35008_11,CI28567
35008_12,CI28569
35008_13,CI28570
35009_11,CI23663
35009_12,CI24230
35009_13,CI27805
35010_11,CI28567
35010_12,CI28569
35010_13,CI28570
35011_11,CI24917
35011_12,CI25634
35011_13,CI25142
35012_11,CI24917
35012_12,CI23855
35012_13,CI24261
35016_11,CI24917
35016_12,CI23855
35016_13,CI24261
35017_11,CI24917
35017_12,CI23855
35017_13,CI24261
35018_11,CI24917
35018_12,CI23855
35018_13,CI24261
35019_11,CI24917
35019_12,CI23855
35019_13,CI24261
35020_11,CI24917
35020_12,CI23855
35020_13,CI24261
35023_11,CI23663
35023_12,CI24230
35023_13,CI27805
35029_11,CI24917
35029_12,CI23855
35029_13,CI23933
35030_11,CI24917
35030_12,CI23855
35030_13,CI23714
35033_11,CI24917
35033_12,CI23855
35033_13,CI24261
35034_11,CI24917
35034_12,CI23855
35034_13,CI24261
35041_11,CI23663
35041_12,CI24230
35041_13,CI27805
35043_11,CI24917
35043_12,CI23855
35043_13,CI24261
35044_11,CI24917
35044_12,CI23855
35044_13,CI24261
35047_11,CI24917
35047_12,CI23855
35047_13,CI24261
35049_11,CI24917
35049_12,CI23855
35049_13,CI24261
35050_11,CI26155
35050_12,CI26165
35050_13,CI26156
35058_11,CI23663
35058_12,CI24230
35058_13,CI27805
35060_11,CI23855
35060_12,CI24261
35060_13,CI23933
35068_11,CI24917
35068_12,CI23855
35068_13,CI24261
35070_11,CI24917
35070_12,CI23855
35070_13,CI24261
35072_11,CI26155
35072_12,CI26165
35072_13,CI26156
35075_11,CI24917
35075_12,CI23855
35075_13,CI24261
35079_11,CI24917
35079_12,CI23855
35079_13,CI24261
35082_11,CI24917
35082_12,CI23855
35082_13,CI23933
35083_11,CI24917
35083_12,CI23855
35083_13,CI24261
35086_11,CI24917
35086_12,CI23855
35086_13,CI24261
35087_11,CI24917
35087_12,CI23855
35087_13,CI24261
35089_11,CI24917
35089_12,CI23855
35089_13,CI24261
35092_11,CI23714
35092_12,CI26052
35092_13,CI25634
35094_11,CI24917
35094_12,CI25634
35094_13,CI25142
35098_11,CI24917
35098_12,CI23855
35098_13,CI24261
35099_11,CI24917
35099_12,CI23855
35099_13,CI24261
35103_11,CI24917
35103_12,CI24261
35103_13,CI23933
35104_11,CI23663
35104_12,CI24230
35104_13,CI27805
35106_11,CI24917
35106_12,CI23855
35106_13,CI24261
35108_11,CI24917
35108_12,CI23855
35108_13,CI24261
35110_11,CI26176
35110_12,CI26190
35110_13,CI26177
35111_11,CI26176
35111_12,CI26190
35111_13,CI26193
35113_11,CI24917
35113_12,CI23855
35113_13,CI24261
35114_11,CI23663
35114_12,CI24230
35114_13,CI27805
35116_11,CI23663
35116_12,CI24230
35116_13,CI27805
35118_11,CI24917
35118_12,CI23855
35118_13,CI23714
35121_11,CI24917
35121_12,CI23855
35121_13,CI24261
35127_11,CI24917
35127_12,CI23855
35127_13,CI24261
35128_11,CI24917
35128_12,CI23855
35128_13,CI24261
35131_11,CI24917
35131_12,CI23855
35131_13,CI24261
35143_11,CI24917
35143_12,CI23855
35143_13,CI24261
35146_11,CI24917
35146_12,CI23855
35146_13,CI24261
35148_11,CI24917
35148_12,CI23855
35148_13,CI24261
35152_11,CI24917
35152_12,CI23855
35152_13,CI24261
35157_11,CI24917
35157_12,CI23855
35157_13,CI24261
35162_11,CI24917
35162_12,CI24261
35162_13,CI23933
35166_11,CI24917
35166_12,CI23855
35166_13,CI24261
35169_11,CI24917
35169_12,CI23855
35169_13,CI24261
35170_11,CI27018
35170_12,CI27019
35170_13,CI27020
35171_11,CI24917
35171_12,CI23933
35171_13,CI27282
35172_11,CI23933
35172_12,CI23714
35172_13,CI26052
35173_11,CI24261
35173_12,CI23933
35173_13,CI23714
35177_11,CI24917
35177_12,CI23855
35177_13,CI24261
35179_11,CI24917
35179_12,CI24261
35179_13,CI23933
35181_11,CI27282
35181_12,CI26052
35181_13,CI25727
35185_11,CI24917
35185_12,CI24261
35185_13,CI23933
35187_11,CI25634
35187_12,CI25142
35187_13,CI24915
35191_11,CI24917
35191_12,CI27282
35191_13,CI26052
35192_11,CI26938
35192_12,CI27018
35192_13,CI27019
35193_11,CI24917
35193_12,CI23855
35193_13,CI24261
35195_11,CI24917
35195_12,CI23855
35195_13,CI24261
35196_11,CI24917
35196_12,CI23855
35196_13,CI24261
35197_11,CI23855
35197_12,CI24261
35197_13,CI23933
35201_11,CI24917
35201_12,CI23855
35201_13,CI24261
35203_11,CI24917
35203_12,CI23933
35203_13,CI27282
35205_11,CI24917
35205_12,CI23855
35205_13,CI24261
35206_11,CI24917
35206_12,CI23933
35206_13,CI23714
35207_11,CI24917
35207_12,CI23855
35207_13,CI24261
35208_11,CI26938
35208_12,CI27018
35208_13,CI27019
35210_11,CI26938
35210_12,CI27018
35210_13,CI27019
35212_11,CI26938
35212_12,CI27018
35212_13,CI27019
35213_11,CI24917
35213_12,CI27282
35213_13,CI26052
35215_11,CI24917
35215_12,CI23855
35215_13,CI23933
35217_11,CI26867
35217_12,CI26855
35217_13,CI26857
35218_11,CI26867
35218_12,CI26855
35218_13,CI26857
35219_11,CI26867
35219_12,CI26855
35219_13,CI26857
35222_11,CI24917
35222_12,CI23855
35222_13,CI24261
35223_11,CI24917
35223_12,CI25634
35223_13,CI25142
35225_11,CI24917
35225_12,CI23855
35225_13,CI24261
35231_11,CI23855
35231_12,CI24261
35231_13,CI23933
35234_11,CI24917
35234_12,CI25634
35234_13,CI25142
35235_11,CI24917
35235_12,CI23855
35235_13,CI24261
35239_11,CI24917
35239_12,CI23855
35239_13,CI24261
35244_11,CI24917
35244_12,CI25634
35244_13,CI25142
35245_11,CI26867
35245_12,CI26855
35245_13,CI26857
35246_11,CI26855
35246_12,CI26857
35246_13,CI27137
35254_11,CI26867
35254_12,CI26855
35254_13,CI27137
35255_11,CI24917
35255_12,CI27282
35255_13,CI26052
35256_11,CI26867
35256_12,CI26855
35256_13,CI27137
35257_11,CI24917
35257_12,CI27282
35257_13,CI26052
35258_11,CI26867
35258_12,CI26855
35258_13,CI27137
35263_11,CI24917
35263_12,CI23855
35263_13,CI24261
35264_11,CI26867
35264_12,CI26855
35264_13,CI26857
35265_11,CI26855
35265_12,CI26857
35265_13,CI27137
35267_11,CI26855
35267_12,CI26857
35267_13,CI27137
35268_11,CI26867
35268_12,CI26855
35268_13,CI26857
35272_11,CI26855
35272_12,CI26857
35272_13,CI27137
35274_11,CI24917
35274_12,CI23855
35274_13,CI23933
35275_11,CI26155
35275_12,CI26165
35275_13,CI26156
35278_11,CI24917
35278_12,CI23855
35278_13,CI24261
35279_11,CI26155
35279_12,CI26165
35279_13,CI26156
35282_11,CI23933
35282_12,CI23714
35282_13,CI27282
35284_11,CI24917
35284_12,CI23855
35284_13,CI24261
35286_11,CI24917
35286_12,CI23855
35286_13,CI24261
35288_11,CI26155
35288_12,CI26165
35288_13,CI26156
35290_11,CI24917
35290_12,CI24261
35290_13,CI23714
35293_11,CI24917
35293_12,CI23855
35293_13,CI24261
35298_11,CI24917
35298_12,CI23855
35298_13,CI23933
35299_11,CI26155
35299_12,CI26156
35299_13,CI26157
35302_11,CI24917
35302_12,CI23855
35302_13,CI24261
35304_11,CI24917
35304_12,CI24261
35304_13,CI23933
35305_11,CI24917
35305_12,CI23855
35305_13,CI24261
35307_11,CI24261
35307_12,CI23933
35307_13,CI23714
35310_11,CI24917
35310_12,CI23855
35310_13,CI24261
35311_11,CI24917
35311_12,CI23855
35311_13,CI24261
35312_11,CI23663
35312_12,CI24230
35312_13,CI27805
35314_11,CI26155
35314_12,CI26165
35314_13,CI26156
35315_11,CI24917
35315_12,CI23855
35315_13,CI24261
35316_11,CI23663
35316_12,CI24230
35316_13,CI27805
35320_11,CI24917
35320_12,CI23855
35320_13,CI24261
35323_11,CI24917
35323_12,CI23855
35323_13,CI24261
35330_11,CI24917
35330_12,CI23855
35330_13,CI24261
35332_11,CI24917
35332_12,CI23855
35332_13,CI24261
35333_11,CI26155
35333_12,CI26165
35333_13,CI26156
35338_11,CI26155
35338_12,CI26165
35338_13,CI26156
35340_11,CI26157
35340_12,CI26213
35340_13,CI26164
35341_11,CI24917
35341_12,CI23855
35341_13,CI23933
35342_11,CI24917
35342_12,CI23855
35342_13,CI24261
35343_11,CI24917
35343_12,CI23855
35343_13,CI23933
35344_11,CI24917
35344_12,CI23855
35344_13,CI24261
35351_11,CI23855
35351_12,CI24261
35351_13,CI23933
35354_11,CI23855
35354_12,CI24261
35354_13,CI23933
35355_11,CI23855
35355_12,CI24261
35355_13,CI23933
35359_11,CI24917
35359_12,CI23933
35359_13,CI23714
35360_11,CI24261
35360_12,CI23933
35360_13,CI23714
35365_11,CI26938
35365_12,CI27018
35365_13,CI27019
35367_11,CI26938
35367_12,CI27018
35367_13,CI27019
35368_11,CI24917
35368_12,CI24261
35368_13,CI23933
35370_11,CI24917
35370_12,CI23855
35370_13,CI24261
35379_11,CI26155
35379_12,CI26156
35379_13,CI26157
35380_11,CI24917
35380_12,CI23855
35380_13,CI24261
35381_11,CI26155
35381_12,CI26156
35381_13,CI26157
35382_11,CI24917
35382_12,CI23855
35382_13,CI24261
35385_11,CI24917
35385_12,CI23855
35385_13,CI24261
35386_11,CI24917
35386_12,CI23714
35386_13,CI27282
35388_11,CI24917
35388_12,CI23855
35388_13,CI24261
35391_11,CI26155
35391_12,CI26156
35391_13,CI26157
35393_11,CI23855
35393_12,CI24261
35393_13,CI23933
35401_11,CI26155
35401_12,CI26165
35401_13,CI26156
35403_11,CI24917
35403_12,CI23855
35403_13,CI23933
35411_11,CI24917
35411_12,CI23855
35411_13,CI24261
35412_11,CI26904
35412_12,CI26917
35412_13,CI26867
35413_11,CI24917
35413_12,CI23855
35413_13,CI24261
35415_11,CI24917
35415_12,CI23855
35415_13,CI24261
35422_11,CI24917
35422_12,CI23855
35422_13,CI23933
35427_11,CI27014
35427_12,CI26984
35427_13,CI26993
35430_11,CI24917
35430_12,CI24261
35430_13,CI23933
35432_11,CI24917
35432_12,CI23855
35432_13,CI24261
35434_11,CI24917
35434_12,CI23855
35434_13,CI24261
35435_11,CI26904
35435_12,CI26917
35435_13,CI26867
35437_11,CI24917
35437_12,CI24261
35437_13,CI23933
35444_11,CI26904
35444_12,CI26917
35444_13,CI26867
35448_11,CI23933
35448_12,CI23714
35448_13,CI27282
35450_11,CI24917
35450_12,CI23933
35450_13,CI23714
35451_11,CI24917
35451_12,CI23855
35451_13,CI24261
35456_11,CI24917
35456_12,CI24261
35456_13,CI23933
35460_11,CI26418
35460_12,CI26406
35460_13,CI26415
35462_11,CI23855
35462_12,CI23933
35462_13,CI23714
35465_11,CI26406
35465_12,CI26401
35465_13,CI26415
35467_11,CI26418
35467_12,CI26406
35467_13,CI26401
35468_11,CI26904
35468_12,CI26917
35468_13,CI26902
35469_11,CI24917
35469_12,CI23855
35469_13,CI24261
35483_11,CI24917
35483_12,CI23855
35483_13,CI24261
35490_11,CI24917
35490_12,CI23933
35490_13,CI23714
35492_11,CI24917
35492_12,CI23855
35492_13,CI24261
35497_11,CI26156
35497_12,CI26157
35497_13,CI26173
35502_11,CI26155
35502_12,CI26156
35502_13,CI26157
35507_11,CI24917
35507_12,CI23855
35507_13,CI24261
35511_11,CI26904
35511_12,CI26917
35511_13,CI26902
35514_11,CI26904
35514_12,CI26917
35514_13,CI26902
35516_11,CI26904
35516_12,CI26917
35516_13,CI26902
35522_11,CI24917
35522_12,CI23855
35522_13,CI24261
35526_11,CI24917
35526_12,CI23855
35526_13,CI24261
35527_11,CI24261
35527_12,CI23975
35527_13,CI26955
35533_11,CI24917
35533_12,CI23855
35533_13,CI24261
35535_11,CI24917
35535_12,CI23855
35535_13,CI23714
35537_11,CI24917
35537_12,CI23855
35537_13,CI24261
35539_11,CI24917
35539_12,CI23855
35539_13,CI24261
35542_11,CI24917
35542_12,CI24261
35542_13,CI23933
35545_11,CI24917
35545_12,CI23855
35545_13,CI24261
35549_11,CI23855
35549_12,CI23933
35549_13,CI23714
35551_11,CI24917
35551_12,CI24261
35551_13,CI23933
35555_11,CI23855
35555_12,CI24261
35555_13,CI23933
35556_11,CI24917
35556_12,CI23855
35556_13,CI24261
35560_11,CI24917
35560_12,CI23855
35560_13,CI24261
35567_11,CI26165
35567_12,CI26156
35567_13,CI26157
35568_11,CI26155
35568_12,CI26165
35568_13,CI26156
35569_11,CI26155
35569_12,CI26165
35569_13,CI26156
35570_11,CI24917
35570_12,CI23855
35570_13,CI23714
35571_11,CI24917
35571_12,CI23855
35571_13,CI24261
35574_11,CI24917
35574_12,CI23855
35574_13,CI24261
35578_11,CI24261
35578_12,CI23975
35578_13,CI26955
35579_11,CI24917
35579_12,CI23855
35579_13,CI24261
35581_11,CI24917
35581_12,CI23855
35581_13,CI24261
35583_11,CI26155
35583_12,CI26165
35583_13,CI26156
35590_11,CI24917
35590_12,CI23855
35590_13,CI24261
35592_11,CI26155
35592_12,CI26156
35592_13,CI26157
35596_11,CI24917
35596_12,CI23855
35596_13,CI24261
35598_11,CI24917
35598_12,CI23855
35598_13,CI24261
35599_11,CI24917
35599_12,CI24261
35599_13,CI23933
35600_11,CI24917
35600_12,CI23855
35600_13,CI23714
35605_11,CI24917
35605_12,CI23855
35605_13,CI23714
35607_11,CI26904
35607_12,CI26917
35607_13,CI26903
35609_11,CI24917
35609_12,CI23855
35609_13,CI24261
35613_11,CI24917
35613_12,CI23855
35613_13,CI24261
35616_11,CI24917
35616_12,CI23855
35616_13,CI24261
35618_11,CI24917
35618_12,CI23855
35618_13,CI24261
35621_11,CI24917
35621_12,CI23855
35621_13,CI24261
35628_11,CI26155
35628_12,CI26165
35628_13,CI26156
35630_11,CI24917
35630_12,CI23855
35630_13,CI24261
35633_11,CI24917
35633_12,CI23855
35633_13,CI24261
35636_11,CI26155
35636_12,CI26165
35636_13,CI26156
35640_11,CI24917
35640_12,CI23855
35640_13,CI23714
35644_11,CI24917
35644_12,CI23855
35644_13,CI24261
35653_11,CI26879
35653_12,CI26878
35653_13,CI26880
35654_11,CI24917
35654_12,CI23855
35654_13,CI24261
35659_11,CI26155
35659_12,CI26165
35659_13,CI26156
35663_11,CI24917
35663_12,CI24261
35663_13,CI23933
35664_11,CI26904
35664_12,CI26917
35664_13,CI26903
35668_11,CI24917
35668_12,CI24261
35668_13,CI23933
35672_11,CI26904
35672_12,CI26867
35672_13,CI26855
35676_11,CI27014
35676_12,CI26984
35676_13,CI26999
35679_11,CI24917
35679_12,CI23855
35679_13,CI24261
35681_11,CI24917
35681_12,CI23855
35681_13,CI24261
35684_11,CI26406
35684_12,CI26411
35684_13,CI27453
35687_11,CI27014
35687_12,CI26984
35687_13,CI27010
35690_11,CI24917
35690_12,CI23855
35690_13,CI24261
35692_11,CI24917
35692_12,CI23855
35692_13,CI24261
35693_11,CI26904
35693_12,CI26917
35693_13,CI26902
35695_11,CI26406
35695_12,CI26401
35695_13,CI26415
35696_11,CI24917
35696_12,CI23855
35696_13,CI24261
35700_11,CI24917
35700_12,CI23855
35700_13,CI23933
35702_11,CI23855
35702_12,CI24261
35702_13,CI23933
35705_11,CI24917
35705_12,CI23855
35705_13,CI24261
35706_11,CI26904
35706_12,CI26917
35706_13,CI26902
35707_11,CI24917
35707_12,CI23855
35707_13,CI24261
35708_11,CI24917
35708_12,CI23855
35708_13,CI24261
35710_11,CI24917
35710_12,CI24261
35710_13,CI23933
35722_11,CI27014
35722_12,CI26984
35722_13,CI26999
35728_11,CI24917
35728_12,CI23855
35728_13,CI24261
35729_11,CI26984
35729_12,CI27010
35729_13,CI26999
35730_11,CI27014
35730_12,CI26984
35730_13,CI26993
35732_11,CI24917
35732_12,CI23855
35732_13,CI24261
35736_11,CI27014
35736_12,CI26984
35736_13,CI27010
35737_11,CI27014
35737_12,CI26984
35737_13,CI27010
35740_11,CI23855
35740_12,CI23933
35740_13,CI23714
35744_11,CI23855
35744_12,CI23933
35744_13,CI23714
35753_11,CI23855
